title,cover,city,region,address,rooms_desc,area_range,all_ready,price,hourseDecoration,company,hourseType,on_time,open_date,tags,totalPrice_range,sale_status,detail_url
通州万国城MOMA,https://image1.ljcdn.com/hdic-resblock/43f94e3a-2caf-4cad-aa86-35f2359df76d.jpg,北京,通州,果园环岛以东，运河西大街与玉桥西路交汇处,"[""3"", ""4""]","[""112"", ""177""]",1,71000,非毛坯,北京润锦房地产开发有限公司,住宅,2018-08-31 10:00:57,2018-11-24,"[""\u7279\u4ef7\u60e0\u9009"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u591a\u8f68\u4ea4\u6c47"", ""\u914d\u5957\u9f50\u5168""]","[""750"", ""900""]",3,https://bj.fang.lianjia.com/loupan/p_tzwgcmablxh/
翡翠公园,https://image1.ljcdn.com/hdic-resblock/3f55b1db-f3a1-4362-b857-03cf19c21435.jpg,北京,昌平,北七家京承高速北七家出口向西3公里,"[""4""]","[""145"", ""350""]",1,45000,非毛坯,北京昌业房地产开发有限公司,别墅,2020-07-28 14:44:53,2018-07-01,"[""\u4f4e\u603b\u4ef7"", ""\u660e\u661f\u6237\u578b"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u73af\u7ebf\u623f""]","[""1350""]",3,https://bj.fang.lianjia.com/loupan/p_fcgyabnaq/
北京城建北京合院,https://image1.ljcdn.com/hdic-resblock/a7948748-2dc5-40f8-9c07-347923edef86.jpg,北京,顺义,燕京街与通顺路交汇口东800米(仁和公园南),"[""3"", ""4""]","[""95"", ""130""]",1,46000,毛坯,北京城建兴顺房地产开发有限公司,住宅,2019-07-08 15:37:02,2017-12-03,"[""\u7279\u4ef7\u60e0\u9009"", ""\u73af\u7ebf\u623f"", ""\u8fd1\u4e3b\u5e72\u9053"", ""\u914d\u5957\u9f50\u5168""]","[""556"", ""566""]",3,https://bj.fang.lianjia.com/loupan/p_bjcjbjhyabncn/
复地运河公馆,https://image1.ljcdn.com/hdic-resblock/c8d52946-f8af-44ee-a637-dc3bd5156740.jpg,北京,通州,通州运河核心区临滨河西路,"[""2"", ""3""]","[""89"", ""145""]",1,43000,,北京复地通盈置业有限公司,住宅,2018-01-26 11:08:40,2017-12-20,"[""\u5546\u52a1\u578b\u516c\u5bd3"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168""]","[""400"", ""650""]",3,https://bj.fang.lianjia.com/loupan/p_fdzxaboxl/
北京城建北京合院,https://image1.ljcdn.com/hdic-resblock/7e33a11f-044a-4c09-a41b-cb4eeef35d0f.jpg,北京,顺义,燕京街与通顺路交汇口东800米(仁和公园南),"[""4"", ""5""]","[""210"", ""330""]",1,39000,毛坯,北京城建兴顺房地产开发有限公司,别墅,2020-07-16 18:24:37,2021-05-01,"[""\u4f4e\u603b\u4ef7"", ""\u660e\u661f\u6237\u578b"", ""\u521a\u9700\u4f18\u9009"", ""\u73af\u7ebf\u623f""]","[""900"", ""1300""]",3,https://bj.fang.lianjia.com/loupan/p_bjcjbjhyabqsk/
月亮河七星公馆,https://image1.ljcdn.com/hdic-resblock/0dc8ee27-14b7-4232-a52c-3d6adc4d624b.jpg,北京,通州,通燕高速耿庄桥出口南200米月亮河，河滨路1号,"[""1"", ""2"", ""3""]","[""55"", ""109""]",1,68000,非毛坯,北京凯瑞房地产开发有限公司,住宅,2019-07-05 14:24:06,2022-09-09,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u91d1\u6848\u573a"", ""\u5730\u94c1\u6cbf\u7ebf""]","[""374"", ""800""]",3,https://bj.fang.lianjia.com/loupan/p_aaemh/
天润福熙大道,https://image1.ljcdn.com/hdic-resblock/70bf1fc7-9863-46a6-bead-769fe1feaf82.jpg,北京,朝阳,"清河营东路1号院, 清河营东路3号院","[""1"", ""2"", ""3"", ""4"", ""5""]","[""65"", ""374""]",1,108000,非毛坯,北京春光置地房地产开发有限公司,住宅,2020-03-20 17:46:38,2020-04-17,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u73af\u7ebf\u623f"", ""\u914d\u5957\u9f50\u5168"", ""\u8d2d\u7269\u65b9\u4fbf""]","[""750"", ""2089""]",3,https://bj.fang.lianjia.com/loupan/p_trfxddaaaly/
京贸国际公馆,https://image1.ljcdn.com/hdic-resblock/451e8dc9-5c7b-4c59-8f23-e83435f24cee.jpg,北京,通州,怡乐中路299号院（广渠快速路二期出口向南1000米）,"[""1"", ""2"", ""3""]","[""72"", ""147""]",1,64000,毛坯,北京天旭运河房地产开发有限责任公司,住宅,2019-10-09 18:39:07,2021-07-02,"[""\u5730\u94c1\u6cbf\u7ebf"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u914d\u5957\u9f50\u5168""]","[""495"", ""950""]",3,https://bj.fang.lianjia.com/loupan/p_jmgjggaaabt/
凯德麓语,https://image1.ljcdn.com/hdic-resblock/b9de28b2-58a6-4b12-a365-426987b9a0ab.jpg,北京,昌平,兴寿镇京承高速G11出口向西怀昌路北侧,"[""3"", ""4"", ""5"", ""8""]","[""280"", ""863""]",1,35000,毛坯,北京升和房地产开发有限公司,别墅,2018-10-10 17:17:03,2020-10-01,"[""\u4f4e\u603b\u4ef7"", ""\u660e\u661f\u6237\u578b"", ""\u7279\u4ef7\u60e0\u9009"", ""\u73af\u7ebf\u623f""]","[""850"", ""3450""]",3,https://bj.fang.lianjia.com/loupan/p_kdlyaagsk/
京贸国际城·峰景,https://image1.ljcdn.com/newhouse-user-image/2c03421036b28f2b1634216e2184015a.jpg,北京,通州,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,"[""1"", ""2"", ""3""]","[""69"", ""140""]",1,68000,非毛坯,北京天旭运河房地产开发有限责任公司,住宅,2020-09-28 11:29:37,2021-03-27,"[""\u7eff\u91d1\u6848\u573a"", ""\u5730\u94c1\u6cbf\u7ebf"", ""\u73af\u7ebf\u623f""]","[""460"", ""980""]",3,https://bj.fang.lianjia.com/loupan/p_jmgjcaagsv/
